Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833
Afghanistan,AFG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,47.8,45.6,40.6,38,36.1,33.3,29.8,26.5,23.3,21.2,20.2,21.1,20.7,20.7,21.5,22.2,23,24,26.9
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.6064582838941,52.0431492826438,52.5858533977139,53.2289134701853,53.96655013393,54.7917066462486,55.6823435005197,56.6097989195142,57.5487718622889,58.4706966763051,59.3535949230704,60.1855610471991,60.9533629561754,61.6473665890637,62.2592883749182,62.7876814850688,63.2462635340566,63.648988039777,64.0052126245997
Africa Eastern and Southern,AFE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,33.1556669221192,32.7040460693921,32.3091767448647,31.0509212230681,29.6770576737701,28.4837817155867,28.028186722491,27.4548951390785,25.6942172526745,23.9127687149481,22.2521462773501,21.6713392615671,21.3377591439973,21.3686748008111,21.8906951272756,22.3944788924801,22.9808819131479,23.5556258383866,25.0270907624071
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.4751356037932,49.8169286273063,50.2394323653305,50.7334166512703,51.2834866628333,51.8682025707247,52.4639575630919,53.0495003986077,53.6120895132647,54.1443067090058,54.6499981291251,55.1389443224205,55.6189864082126,56.0882690441146,56.5420091409512,56.9747611509084,57.382362702625,57.7623467867763,58.1157227231324
Africa Western and Central,AFW,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,16.1588949085702,15.705134192381,15.1809937191562,14.4786864134811,13.6640272674464,13.0414397041616,12.4743183083509,12.1661026500692,11.5781266036558,11.1530747205223,10.7292133757955,10.7715262216192,10.8111805532674,10.9748312062152,11.0044741607361,11.0475632425173,11.3054048786642,11.499541126251,12.4495125313035
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573
Albania,ALB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.9,6.1,7.5,8.6,8.9,8.8,8.3,7.3,6.3,5.8,5.4,5.1,5,5,4.9,4.7,4.7,4.6,4.3
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.644,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,76.88
Algeria,DZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,8,7.3,7,7,6.7,6.4,5.9,5.6,5.1,4.3,3.8,3.2,3,2.9,2.8,2.8,2.7,2.5,2.5
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.059,47.702,48.44,49.263,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.147
Angola,AGO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,67.5,63.2,58.7,55.1,52.2,49.3,46.1,42.9,33.1,23.9,16.4,15.1,14.3,13.7,14.5,15.4,15.4,15.7,17.9
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.171,74.395,74.613,74.821,75.019,75.204,75.376,75.535,75.683,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,77.016
Antigua and Barbuda,ATG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.0725186351364,68.3402463203748,68.6105056110119,68.886187759396,69.164682959313,69.4394593833005,69.7015552895135,69.9421738723304,70.1575600848623,70.3499164210096,70.5287616794948,70.7037977970714,70.8822177024387,71.0642687701762,71.2495709689318,71.4365471749074,71.6226704254941,71.8070751075422,71.9897093670282
Arab World,ARB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,12.9638005210263,12.7859887816067,12.8273798066325,12.8880387406274,12.6212897863367,12.2673074597448,11.9874412572955,11.8506697317936,11.3734563159402,11.2741308435314,10.9880593676556,10.9922757674606,10.6606840484222,10.8425610836621,11.3327442318238,11.7639281160444,11.887433005184,11.6772000601507,11.6491156546266
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667
Argentina,ARG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,3,3.8,4.5,4,3.7,3.4,3.3,3.3,3.2,3.1,2.9,2.8,2.6,2.5,2.5,2.6,3.1,3.4,3.5
